Change dir from /home/yejinmian/GGAP-0512/GGAP/exp/0512 to /home/yejinmian/GGAP-0512/GGAP
Parsing config file...
** Assert in demo mode. **
{'train_loss': 1.1433921389170103, 'epoch_time': 1292.4269480705261, 'test_loss': 1.0241510655198778, 'acc@1': 74.44082540395308, 'acc@5': 92.10199145881496, 'LR': 0.001}
{'train_loss': 1.1388340732791684, 'epoch_time': 1279.5868682861328, 'test_loss': 1.0228387567461754, 'acc@1': 74.5916279384068, 'acc@5': 92.05311584472656, 'LR': 0.001}
{'train_loss': 1.1342955292402566, 'epoch_time': 1271.7340750694275, 'test_loss': 1.0234103461309356, 'acc@1': 74.54939565853196, 'acc@5': 92.07314066984216, 'LR': 0.001}
{'train_loss': 1.1078487845686646, 'epoch_time': 1315.8304107189178, 'test_loss': 1.0023411481964344, 'acc@1': 74.97693828660614, 'acc@5': 92.34912156085579, 'LR': 0.0001}
{'train_loss': 1.1020324716915737, 'epoch_time': 1204.7750532627106, 'test_loss': 1.0035690187799686, 'acc@1': 74.97001032926599, 'acc@5': 92.29341288975307, 'LR': 0.0001}
{'train_loss': 1.0972118417104404, 'epoch_time': 1283.5772185325623, 'test_loss': 0.9999371712305107, 'acc@1': 74.97589438302177, 'acc@5': 92.34323750710001, 'LR': 0.0001}
{'train_loss': 1.0948902891946959, 'epoch_time': 1309.1906864643097, 'test_loss': 1.0017619683426253, 'acc@1': 74.95710333999322, 'acc@5': 92.34323750710001, 'LR': 0.0001}
{'train_loss': 1.0923100433268629, 'epoch_time': 1257.1444506645203, 'test_loss': 0.9991630765856528, 'acc@1': 74.97105423285036, 'acc@5': 92.40502003261021, 'LR': 0.0001}
{'train_loss': 1.0938434189016168, 'epoch_time': 1464.6812889575958, 'test_loss': 0.9995773787401161, 'acc@1': 75.08759642620475, 'acc@5': 92.31229883310746, 'LR': 0.0001}
{'train_loss': 1.0894791750879316, 'epoch_time': 1325.1289510726929, 'test_loss': 0.9961344213510046, 'acc@1': 75.18430359509526, 'acc@5': 92.40502003261021, 'LR': 1e-05}
{'train_loss': 1.088908029126597, 'epoch_time': 1325.6570868492126, 'test_loss': 0.9976922155034785, 'acc@1': 75.09964923469387, 'acc@5': 92.42096391016123, 'LR': 1e-05}
{'train_loss': 1.0872120560823264, 'epoch_time': 1414.9435403347015, 'test_loss': 0.9985900579058394, 'acc@1': 75.05580357142857, 'acc@5': 92.32131467546735, 'LR': 1e-05}
{'train_loss': 1.087170189160567, 'epoch_time': 1351.7042520046234, 'test_loss': 1.0010898721461394, 'acc@1': 75.03985969387755, 'acc@5': 92.35908648432518, 'LR': 1e-05}
{'train_loss': 1.086963019004235, 'epoch_time': 1472.9134798049927, 'test_loss': 0.9973639736370165, 'acc@1': 75.17338966836735, 'acc@5': 92.35623939669863, 'LR': 1e-05}
{'train_loss': 1.0864130852939367, 'epoch_time': 1350.973052740097, 'test_loss': 0.9968478868202287, 'acc@1': 75.03957499289999, 'acc@5': 92.40302704791634, 'LR': 1e-05}
